State,District,NAME
Bihar,LAKHISARAI,Lakhisarai
Bihar,LOHARDAGA,Lohardaga
Bihar,LOHARDAGGA,Lohardaga
Bihar,MADHEPURA,Madhepura
Bihar,MADHUBANI,Madhubani
Bihar,MADHUPURA,Madhepura
Bihar,MANBHUM,Manbhum
Bihar,MONGHYR,Munger
Bihar,MUNGAIR,Munger
Bihar,MUNGER,Munger
Bihar,MUZAFARPUR,Muzaffarpur
Bihar,MUZAFFARNAGAR,Muzaffarpur
Bihar,MUZAFFARPUR,Muzaffarpur
Bihar,NALANDA,Nalanda
Bihar,NAWADA,Nawada
Bihar,NAWADAH,Nawada
Bihar,NAWADHA,Nawada
Bihar,PAKUR,Pakur
Bihar,PALAMAN,Palamu
Bihar,PALAMAU,Palamu
Bihar,PALAMU,Palamu
Bihar,PALMAU,Palamu
Bihar,PASHCHIM CHAMPARAN,Pashchim Champaran
Bihar,PATNA,Patna
Bihar,PURBA CHAMPARAN,Purba Champaran
Bihar,PURBI CHAMPARAN,Purba Champaran
Bihar,PURNEA,Purnia
Bihar,PURNIA,Purnia
Bihar,RANCHI,Ranchi
Bihar,ROHTAS,Rohtas
Bihar,ROHTAS(SASARAM),Rohtas
Bihar,S. PARGANA,Dumka
Bihar,S. PARGANAS,Dumka
Bihar,S.PARGANAS,Dumka
Bihar,SAHABAD,Shahabad
Bihar,SAHARSA,Saharsa
Bihar,SAHEBGANJ,Sahibganj
Bihar,SAMASTIPUR,Samastipur
Bihar,SAMISTIPUR,Samastipur
Bihar,SANTHAL PARAGANA,Dumka
Bihar,SANTHAL PARGANA,Dumka
Bihar,SANTHAL PARGANAS,Dumka
Bihar,SAPAUL,Supaul
Bihar,SARAN,Saran
Bihar,SHAHABAD,Shahabad
Bihar,SHEIKHPURA,Sheikhpura
Bihar,SHEKHPURA,Sheikhpura
Bihar,SHEOHAR,Sheohar
Bihar,SINGBHUM,Singhbhum
Bihar,SINGHBHUM,Singhbhum
Bihar,SINGHBHUM EAST,Purba Singhbhum
Bihar,SINGHBHUM WEST,Pashchim Singhbhum
Bihar,SINGHBHUMI (E),Purba Singhbhum
Bihar,SINGHBHUMI (W),Pashchim Singhbhum
Bihar,SITAMARHI,Sitamarhi
Bihar,SIVHAR,Sheohar
Bihar,SIWAN,Siwan
Bihar,SUPAUL,Supaul
Bihar,TOTAL,Total
Bihar,VAISALI,Vaishali
Bihar,VAISHALI,Vaishali
Bihar,WEST / PASHCHIM CHAMPARAN,Pashchim Champaran
Bihar,WEST CHAMPARAN,Pashchim Champaran
Bihar,WEST SINGHBHUM,Pashchim Singhbhum
Bombay,AHMEDABAD,Ahmadabad
Bombay,AHMEDNAGAR,Ahmednagar
Bombay,AMRELI,Amreli
Bombay,BANAS KANTHA,Banas Kantha
Bombay,BARODA,Vadodara
Bombay,BELGAUM,Belgaum
Bombay,BIJAPUR,Bijapur
Bombay,BOMBAY SUBURBAN,Mumbai Suburban
Bombay,BROACH,Bharuch
Bombay,DANGS,The Dangs
Bombay,DHARWAR,Dharwad
Bombay,EAST KHANDESH,Jalgaon
Bombay,KAIRA,Kheda
Bombay,KANARA,Kanara
Bombay,KOLABA,Raigarh
Bombay,KOLHAPUR,Kolhapur
Bombay,MEHSANA,Mahesana
Bombay,NASIK,Nashik
Bombay,PANCH MAHALS,Panch Mahals
Bombay,POONA,Pune
Bombay,RATNAGARI,Ratnagiri
Bombay,SABARKANTHA,Sabar Kantha
Bombay,SATARA NORTH,Satara North
Bombay,SATARA SOUTH,Satara South
Bombay,SHOLAPUR,Solapur
Bombay,SURAT,Surat
Bombay,THANA,Thane
Bombay,WEST KHANDESH,Dhule
Chandigarh,CHANDIGARH,Chandigarh
Chandigarh,CHECK,NA
Chandigarh,TOTAL,Total
Chandigarh,UT CHANDIGARH,Chandigarh
Chhattisgarh,BALOD,Balod
Chhattisgarh,BALODA BAZAR,Baloda Bazar
Chhattisgarh,BALRAMPUR,Balrampur
Chhattisgarh,BASTAR,Bastar
Chhattisgarh,BASTER,Bastar
Chhattisgarh,BEMETARA,Bemetara
Chhattisgarh,BIJAPUR,Bijapur
Chhattisgarh,BILASPUR,Bilaspur
Chhattisgarh,CHHATTISGARH,Chhattisgarh
Chhattisgarh,DAKSHIN BASTAR DANTEWADA,Dantewada
Chhattisgarh,DANTEWADA,Dantewada
Chhattisgarh,DANTEWARA,Dantewada
Chhattisgarh,DHAMTARI,Dhamtari
Chhattisgarh,DURG,Durg
Chhattisgarh,GARIABAND,Gariaband
Chhattisgarh,GARIYABAND,Gariaband
Chhattisgarh,JANJGIR - CHAMPA,Janjgir-Champa
Chhattisgarh,JANJGIR-CHAMPA,Janjgir-Champa
Chhattisgarh,JASHPUR,Jashpur
Chhattisgarh,KABEERDHAM,Kawardha
Chhattisgarh,KABEERDHAM / KAWARDHA,Kawardha
Chhattisgarh,KABIRDHAM,Kawardha
Chhattisgarh,KANKER,Kanker
Chhattisgarh,KAWARDHA,Kawardha
Chhattisgarh,KONDAGAON,Kondagaon
Chhattisgarh,KORBA,Korba
Chhattisgarh,KOREA,Koriya
Chhattisgarh,KORIA,Koriya
Chhattisgarh,KORIYA,Koriya
Chhattisgarh,KVARDHA,Kawardha
Chhattisgarh,MAHASAMUND,Mahasamund
Chhattisgarh,MAHASMUND,Mahasamund
Chhattisgarh,MUNGELI,Mungeli
Chhattisgarh,NARAYANPUR,Narayanpur
Chhattisgarh,NORTH / UTTAR BASTAR KANKER,Kanker
Chhattisgarh,RAIGADH,Raigarh
Chhattisgarh,RAIGARH,Raigarh
Chhattisgarh,RAIPUR,Raipur
Chhattisgarh,RAJNANDGAON,Raj Nandgaon
Chhattisgarh,SARGUJA,Surguja
Chhattisgarh,SOUTH / DAKSHIN BASTAR DANTEWADA,Dantewada
Chhattisgarh,SUKMA,Sukma
Chhattisgarh,SURAJPUR,Surajpur
Chhattisgarh,SURGUJA,Surguja
Chhattisgarh,TOTAL,Total
Chhattisgarh,UTTAR BASTAR KANKER,Kanker
Dadra and Nagar Haveli,CHECK,NA
Dadra and Nagar Haveli,D & N HAVELI,Dadra and Nagar Haveli
Dadra and Nagar Haveli,DADAR & NAGAR HAVELI,Dadra and Nagar Haveli
Dadra and Nagar Haveli,DADAR AND NAGAR HAVELI,Dadra and Nagar Haveli
Dadra and Nagar Haveli,DADRA & NAGAR HAVELI,Dadra and Nagar Haveli
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,Dadra and Nagar Haveli
Dadra and Nagar Haveli,DADRA NAGAR HAVELI,Dadra and Nagar Haveli
Dadra and Nagar Haveli,DADRAN & NAGAR HAVELI,Dadra and Nagar Haveli
Dadra and Nagar Haveli,DADRAN AND NAGAR HAVELI,Dadra and Nagar Haveli
Dadra and Nagar Haveli,TOTAL,Total
Daman and Diu,CHECK,NA
Daman and Diu,DAMAN,Daman
Daman and Diu,DAMAN & DIU,NA
Daman and Diu,DAMAN AND DIU,NA
Daman and Diu,DIU,Junagadh
Daman and Diu,TOTAL,Total
Delhi,ALIPUR,Delhi
Delhi,CENTRAL-DELHI,Delhi
Delhi,CHECK,NA
Delhi,DELHI,Delhi
Delhi,EAST,Delhi
Delhi,GOA,Goa
Delhi,MAHRAULI,Delhi
Delhi,NAJAFGARH,Delhi
Delhi,NANGLOI,Delhi
Delhi,NORTH-EAST,Delhi
Delhi,NORTH-WEST,Delhi
Delhi,SHADARA-NORTHEAST,Delhi
Delhi,SHAHDARA-EAST,Delhi
Delhi,SOUTH-EAST,Delhi
Delhi,SOUTH-WEST,Delhi
Delhi,TOTAL,Total
Delhi,WEST,Delhi
Goa,CHECK,NA
Goa,GOA,Goa
Goa,NORTH GOA,North Goa
Goa,SOUTH GOA,South Goa
Goa,TOTAL,Total
"Goa, Daman and Diu","GOA, DAMAN & DIU",NA
"Goa, Daman and Diu","GOA, DAMAN AND DIU",NA
Gujarat,AHMADABAD,Ahmadabad
Gujarat,AHMEDABAD,Ahmadabad
Gujarat,AMRELI,Amreli
Gujarat,ANAND,Anand
Gujarat,BALSAR,Valsad
Gujarat,BANAS KANTHA,Banas Kantha
Gujarat,BANASKANTA,Banas Kantha
Gujarat,BANASKANTHA,Banas Kantha
Gujarat,BANSKANTHA,Banas Kantha
Gujarat,BAROACH,Bharuch
Gujarat,BARODA,Vadodara
Gujarat,BARUCH,Bharuch
Gujarat,BHARUCH,Bharuch
Gujarat,BHAVNAGAR,Bhavnagar
Gujarat,BROACH,Bharuch
Gujarat,BULSAR,Valsad
Gujarat,CHECK,NA
Gujarat,DAHOD,Dahod
Gujarat,DOHAD,Dahod
Gujarat,DANG,The Dangs
Gujarat,DANGS,The Dangs
Gujarat,DANGS.,The Dangs
Gujarat,GANDHI NAGAR,Gandhinagar
Gujarat,GANDHINAGAR,Gandhinagar
Gujarat,GOHILWAD,Gohilwad
Gujarat,GUJARAT,Gujarat
Gujarat,HOLAR,Holar
Gujarat,JAMNAGAR,Jamnagar
Gujarat,JUNAGADH,Junagadh
Gujarat,JUNAGARH,Junagadh
Gujarat,JUNGADH,Junagadh
Gujarat,KACHCHH,Kachchh
Gujarat,KAIRA,Kheda
Gujarat,KHEDA,Kheda
Gujarat,KUCHCHH,Kachchh
Gujarat,KUTCH,Kachchh
Gujarat,KUTCH / KACHCHH,Kachchh
Gujarat,MADHYA SAURASHTRA,Madhya Saurashtra
Gujarat,MAHESANA,Mahesana
Gujarat,MAHSANA,Mahesana
Gujarat,MEHASANA,Mahesana
Gujarat,MEHSANA,Mahesana
Gujarat,NARMADA,Narmada
Gujarat,NAVSARI,Navsari
Gujarat,PANCH MAHALS,Panch Mahals
Gujarat,PANCHMAHAL,Panch Mahals
Gujarat,PATAN,Patan
Gujarat,PORBANDAR,Porbandar
Gujarat,PORBANDER,Porbandar
Gujarat,RAJKOT,Rajkot
Gujarat,SABAR KANTHA,Sabar Kantha
Gujarat,SABARKANTHA,Sabar Kantha
Gujarat,SORATH,Sorath
Gujarat,SURAT,Surat
Gujarat,SURAT & BULSAR,Surat
Gujarat,SURENDRANAGAR,Surendranagar
Gujarat,TAPI,Tapi
Gujarat,THE DANGS,The Dangs
Gujarat,TOTAL,Total
Gujarat,VADODARA,Vadodara
Gujarat,VADORA,Vadodara
Gujarat,VALSAD,Valsad
Gujarat,ZALAWAD,Zalawad
Haryana,AMBALA,Ambala
Haryana,BHIWANI,Bhiwani
Haryana,CHECK,NA
Haryana,FARIDABAD,Faridabad
Haryana,FATEHABAD,Fatehabad
Haryana,FATEHBAD,Fatehabad
Haryana,GURGAON,Gurgaon
Haryana,HARYANA,Haryana
Haryana,HISAR,Hisar
Haryana,HISSAR,Hisar
Haryana,JHAJJAR,Jhajjar
Haryana,JHAJJER,Jhajjar
Haryana,JIND,Jind
Haryana,KAITHAL,Kaithal
Haryana,KARNAL,Karnal
Haryana,KURKSHETRA,Kurukshetra
Haryana,KURUKSHETRA,Kurukshetra
Haryana,M/GARH,Mahendragarh
Haryana,MAHENDRA GARH,Mahendragarh
Haryana,MAHENDRAGARH,Mahendragarh
Haryana,MAHENDRAGARH / NARNAUL,Mahendragarh
Haryana,MAHENDRAGARH(NARNAUL),Mahendragarh
Haryana,MEHANDERGARH,Mahendragarh
Haryana,MEWAT,Mewat
Haryana,MIHINDERGARH,Mahendragarh
Haryana,MOHINDERGARH,Mahendragarh
Haryana,MOHINDERGHAH (NARNAUL),Mahendragarh
Haryana,PALWAL,Palwal
Haryana,PANCHKULA,Panchkula
Haryana,PANIPAT,Panipat
Haryana,REWARI,Rewari
Haryana,RIWARI,Rewari
Haryana,ROHTAK,Rohtak
Haryana,SIRSA,Sirsa
Haryana,SONEPAT,Sonepat
Haryana,SONIPAT,Sonepat
Haryana,SONIPUT,Sonepat
Haryana,TOTAL,Total
Haryana,YAMUNA NAGAR,Yamuna Nagar
Haryana,YAMUNANAGAR,Yamuna Nagar
Himachal Pradesh,AMBALA,Ambala
Himachal Pradesh,BALASPUR,Bilaspur
Himachal Pradesh,BILASHPUR,Bilaspur
Himachal Pradesh,BILASPUR,Bilaspur
Himachal Pradesh,CHAMBA,Chamba
Himachal Pradesh,CHECK,NA
Himachal Pradesh,ESTIMATES FOR NON REPORTING AR,NA
Himachal Pradesh,HAMIRPUR,Hamirpur
Himachal Pradesh,HIMACHAL PRADESH,Himachal Pradesh
Himachal Pradesh,HISAR,Hisar
Himachal Pradesh,KANGRA,Kangra
Himachal Pradesh,KARNAL,Karnal
Himachal Pradesh,KINNAUR,Kinnaur
Himachal Pradesh,KULLU,Kullu
Himachal Pradesh,KULU,Kullu
Himachal Pradesh,LAHAUL & SPITI,Lahul and Spiti
Himachal Pradesh,LAHAUL AND SPITI,Lahul and Spiti
Himachal Pradesh,LAHAUL SPITI,Lahul and Spiti
Himachal Pradesh,LAHUAL & SPITI,Lahul and Spiti
Himachal Pradesh,LAHUL & SPITI,Lahul and Spiti
Himachal Pradesh,LAHUL AND SPITI,Lahul and Spiti
Himachal Pradesh,LAHUL SPITI,Lahul and Spiti
Himachal Pradesh,MAHASU,Solan
Himachal Pradesh,MAHASU / SOLAN,Solan
Himachal Pradesh,MANDI,Mandi
Himachal Pradesh,MEHASU,Solan
Himachal Pradesh,ROHTAK,Rohtak
Himachal Pradesh,SHIMALA,Shimla
Himachal Pradesh,SHIMLA,Shimla
Himachal Pradesh,SIMLA,Shimla
Himachal Pradesh,SIRMAUR,Sirmaur
Himachal Pradesh,SIRMOUR,Sirmaur
Himachal Pradesh,SIRMUR,Sirmaur
Himachal Pradesh,SOLAN,Solan
Himachal Pradesh,TOTAL,Total
Himachal Pradesh,UNA,Una
Hyderabad,ADILABAD,Adilabad
Hyderabad,AURANGABAD,Aurangabad
Hyderabad,BIDAR,Bidar
Hyderabad,BIR,Bid
Hyderabad,GULBARGA,Gulbarga
Hyderabad,HYDERABAD,NA
Hyderabad,KARIMNAGAR,Karimnagar
Hyderabad,KHAMMAN,Khammam
Hyderabad,MAHBUBNAGAR,Mahbubnagar
Hyderabad,MEDAK,Medak
Hyderabad,NALGONDA,Nalgonda
Hyderabad,NANDER,Nanded
Hyderabad,NIZAMABAD,Nizamabad
Hyderabad,OSMANABAD,Osmanabad
Hyderabad,PARBHANI,Parbhani
Hyderabad,RAICHUR,Raichur
Hyderabad,WARANGAL,Warangal
Jammu and Kashmir,ANANTMAG,Anantnag (Kashmir South)
Jammu and Kashmir,ANANTNAG,Anantnag (Kashmir South)
Jammu and Kashmir,ANANTNAGH,Anantnag (Kashmir South)
Jammu and Kashmir,BADGAM,Bagdam
Jammu and Kashmir,BADGAON,Bagdam
Jammu and Kashmir,BANDIPORA,Bandipora
Jammu and Kashmir,BANDIPORE,Bandipora
Jammu and Kashmir,BARAMULA,Baramula (Kashmir North)
Jammu and Kashmir,BARAMULLA,Baramula (Kashmir North)
Jammu and Kashmir,BUDGAM,Bagdam
Jammu and Kashmir,CHECK,NA
Jammu and Kashmir,DODA,Doda
Jammu and Kashmir,GANDERBAL,Ganderbal
Jammu and Kashmir,JAMMU,Jammu
Jammu and Kashmir,JAMMU & KASHMIR,Jammu and Kashmir
Jammu and Kashmir,JAMMU AND KASHMIR,Jammu and Kashmir
Jammu and Kashmir,KARGIL,Kargil
Jammu and Kashmir,KATHUA,Kathua
Jammu and Kashmir,KISHTWAR,Kishtwar
Jammu and Kashmir,KULGAM,Kulgam
Jammu and Kashmir,KUPWARA,Kupwara (Muzaffarabad)
Jammu and Kashmir,LADAKH,Ladakh (Leh)
Jammu and Kashmir,LADHAK,Ladakh (Leh)
Jammu and Kashmir,LAKAKH,Ladakh (Leh)
Jammu and Kashmir,LEH,Ladakh (Leh)
Jammu and Kashmir,LEH LADAKH,Ladakh (Leh)
Jammu and Kashmir,LEH - LADAKH,Ladakh (Leh)
Jammu and Kashmir,LEH (LADAKH),Ladakh (Leh)
Jammu and Kashmir,MUZAFFARABAD,Kupwara (Muzaffarabad)
Jammu and Kashmir,PFILWAMA,Pulwama
Jammu and Kashmir,POONCH,Punch
Jammu and Kashmir,PULWAMA,Pulwama
Jammu and Kashmir,PULWANA,Pulwama
Jammu and Kashmir,PULWANNA,Pulwama
Jammu and Kashmir,PUNCH,Punch
Jammu and Kashmir,RAJAURI,Rajauri
Jammu and Kashmir,RAJOURI,Rajauri
Jammu and Kashmir,RAMBAN,Ramban
Jammu and Kashmir,REASI,Reasi
Jammu and Kashmir,SAMBA,Samba
Jammu and Kashmir,SHUPIYAN,Shopian
Jammu and Kashmir,SHOPIAN,Shopian
Jammu and Kashmir,SIRNAGAR,Srinagar
Jammu and Kashmir,SRINAGAR,Srinagar
Jammu and Kashmir,TOTAL,Total
Jammu and Kashmir,UDHAMPUR,Udhampur
Jharkhand,(DUMKA)SANTHAL PARGANAS,Dumka
Jharkhand,BANGALORE RURAL,Bangalore Rural
Jharkhand,BOKARO,Bokaro
Jharkhand,CHATRA,Chatra
Jharkhand,DEOGHAR,Deoghar
Jharkhand,DHANBAD,Dhanbad
Jharkhand,DUMKA,Dumka
Jharkhand,EAST / PURBI SINGHBHUM,Purba Singhbhum
Jharkhand,EAST SINGHBHUM,Purba Singhbhum
Jharkhand,EAST SINGHBUM,Purba Singhbhum
Jharkhand,GARHWA,Garhwa
Jharkhand,GARWHA,Garhwa
Jharkhand,GIRIDIH,Giridih
Jharkhand,GODDA,Godda
Jharkhand,GUMLA,Gumla
Jharkhand,HAZARIBAGH,Hazaribag
Jharkhand,JAMTARA,Jamtara
Jharkhand,JHARKHAND,Jharkhand
Jharkhand,KHUNTI,Khunti
Jharkhand,KODARMA,Koderma
Jharkhand,KODERMA,Koderma
